Genes	N.Sequences	N.Proteotypic.Sequences	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_159-73X.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_036-41.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_008-47.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_032-19.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_020-38.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_098-25.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_080-42.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_064-26.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_030-45.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_004-6.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_173-80.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_181-84.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_165-76.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_157-73.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_195-91.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_035-14.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_007-3.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_003.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_013-5X.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_019-8.mzML
A1BG	1	1									6585.52								1290.06			
A2M	13	10			1979.17				2245.66	26487.2	37879.4	41294.8	1484.45				12996.8		5392.84			
ABCA1	1	1	658.356		3427.18		2004.9	3231.43	2539.22	5268.68	3224.9	1237.36				7917.04			932.124	3546.62		2388.69
ABCB1	1	1		1438.43		3587.79	2973.98									5411.32	7540.1					
ABI2	1	1					2643.32		2534.64	1582.71												
ACADVL	1	1		533.666	816.764		386.885		510.636		7637.3	641.718	1353.1			1569.73			885.924			
ACE	25	25	6227.46	10976.2	18030.3	23266.9	4032.62	6332.47	4761.62	45240.8	4429.07	3022.08	6736.67	31846.8	4164.41	55537.9	4222.27		2792.95	6921.79	4718.3	7714.32
ACE2	4	4								2304.34				8648.99		610.267						
ACOT11	1	1			2017.4																	
ACTA1;ACTA2;ACTC1;ACTG2	10	0	2906.3	123428	7065.61	252763	63788.6	69705.1	49922.2	133294	98269.4	89291.8	87092	2244.34	38975.2	15256	104841	50468.2	7434.37	49874.1	10752.6	3684.86
ACTB;ACTG1	1	0		3175.19	5163.49		1082.22	2574.71		3104.07	40298.8	1621.87	11216.7		21890.1	8995.93	27564.8					
ACTN1	16	6		10570.8	1700.22	16902.8	5535.83	7072.42	4867.21	15417	21082.6	3675.11	9231.07			2728.7	8686.64		2306.19	1007.84		
ACTN2	6	5		7407.99		16585.8	5929.31	3971.63	2632.5	11577.8	4524.34	4226.73	5729.44							3409.73		
ACTN3	2	2				1835.03						909.876	708.894									
ACTN4	6	5			726.338	5541.32					14481.2	1348.91	1069.99				2901.62		4102.17			
ACY1	3	3	14626.3	4199.01	2562.01	15611.8	2539.53		27381.5	28800.7	4174.2	7634.79	4688.09	16137.3		3819.28	5770.2	3938.69	2580.79			6426.76
ADA	9	9	10265.3		3051.18	4736.82			4115.46	5288.1	3674.51	12808.3	14508.8	33134.1		4793.62			1071.88	3047.38	5898.32	3613.35
ADAM9	1	1	597.298		424.618					550.495	315.912			848.583					159.752			
ADH1	7	7			26560.3	26291.1	1505.03		11219.6	10797.2	7854.8	5293.8	3449.79				73732.4					5085.46
ADH1C	2	1					4854.69		428.594		224.736	1313.33	508.003						2710.17			
ADIPOQ	2	2							1360.67	3229.99		11389.6						2878.43	2204.41			
ADSS2	1	1									1390.37								2066.97	1092.37		
AGA	5	5	4556.6	1923.49	2813.68	5843.35	5894.03	10100.8	11558.1	8354.42	9739.59	2450.43	2386.28	2302.69	2962.69	3085.38		4373.01	2345.91	4181.03		2812.38
AK2	1	1				9814.9						9608.12		4027.18			45621					
ALB	78	78	11472.9	5785.73	12493	65028.6	4225.18	18469.4	75295.5	7685.06	155630	39916	26996.7	10893.9	11993.1	27526.6	77068.4	7752.39	9900	25461.4	8662.26	8358.66
ALDH2	2	1			2708.63						10068.2	4264.83							1220.69			
ALDH3A2	9	8		3746.82			1837.8		2813.68	2210	12681	3725.98	5721.2				7314.21		8865.23	6180.48		
ALDH9A1	1	1									3549.27											
ALDOA	7	3	1862.04	49865	4392.66	125984	15511.6	104055	23694.5	166243	153817	61720.9	55096.7		17627.2		63359.3	77172.9	4409.69	89365.4		9469.56
ALOX5	7	7								8954.81	19558.4	5220.08						12012.3	21934.4	8865.96		8884.38
ALPI	23	18	224878	297816	119224	39799.1	308189	540433	373317	347765	299941	75775.9	96146.3	131661	255158	36781.6	102192	11469.1	60087.5	128340	24005.7	178807
ALPL	7	7	789.546	1231.87	516.956	1434.57	1250.91	1139.45	1131.44	1162.65	2441.5	5890.02	742.228	985.791		1267.81		3219.77	1805.78		694.28	
ALPP	1	0	97119.1	3830.76	1185.51		5878.3	3357.6	6015.5	6863.41	5288.67		15104.9	13202.1	12309.6	9847.21	20754.2		18089.7	8965.96	5060.41	19417.1
AMY1A;AMY1B;AMY1C	7	0	1.61623e+06	110825	216465	12103.1	313367	420992	834461	387378	317142	527439	125347	2644.72	11883.7	135956	109915	11555.3	27863.6	1.01135e+06	34020.9	2517.16
AMY2A	46	10	6.79711e+06	4.27564e+06	5.19874e+06	325055	4.34469e+06	8.62169e+06	2.9522e+06	5.71116e+06	2.09932e+06	1.26518e+06	225953	12694.3	177027	3.85715e+06	205041	94409.7	2.17308e+06	5.42565e+06	96135.3	1.62029e+06
AMY2B	5	2	1.86854e+06	524896	1.16442e+06	15004.9	527108	983541	448075	1.16e+06	307555	328600	76372.3	1391.46	19329	235140	34375	17497.4	318111	658809	17228.5	374106
ANPEP	29	29	166790	24686.1	209910	43601	54138.7	339898	175497	56652.9	354732	146006	71477.2	25081.9	146661	15957.2	52127.7	208089	20940.8		12769	49962.2
ANXA1	10	10			2541.06	5880.99		1682.27	4273.83	3972.51	146674	2716.48	12178			1745.79	21037.5		9689.75			
ANXA11	16	15	1352.37		4729.43	6609.78				2352.97	4227.07	615.542	2976.54	3995.21		5102.05	7412.24	2874.43	8021.84	9932.07	2675.41	3782.61
ANXA13	3	3		1003.45	836.516	1131.95	2237.05	2209.71	578.519		4108.88		1578.65		6172.33	1848.53			2311.18			
ANXA2	11	1	968.481	12024.9	55649.7	35939.3	9680.13	8374.32	5162.33	5456.84	28356.5	2598.55	15221.1	4556.01	7512.83	28604.6	30380.6		3188.3			1534.58
ANXA3	7	7			1615.24	1704.05			692.83	4942.54	41615.9	971.843							3318.62			
ANXA4	8	8	2224.2	3476.37	9093.6	7938.05	2198.84	3207.79	2855.14	1522.44	13023.6	1776.2	3615.04	1482.81		7215.52	8082.93	2245.53	3445.64	4330.37	1624.03	2113.13
ANXA5	6	6		964.899	3034.37	1382.77	806.406			828.659	19492.2	976.51				1992.72	3494.75		2309.41			
ANXA6	7	7		2372.75	425.675	2484.05			1083.21		26734.2	2554.59	2174.93						3150.73			
ANXA7	2	2		599.75	1983.59	1224.39	549.514		1006.41	1636.09	3706.39	901.42				1144.62						
APCS	7	7	5461.3	3209.22	2022.21	3752.62	2125.41	7421.22	17642.7	50336.4	36572.2	7555.35	2381.56	4260.29		1295.47	4160.55	22610	18045.3	56514.8	4952.34	14437.3
APMAP	2	2									5428.16	2603.78							562.33			
APOD	5	5	769.798	6086.72	4533.34	16491.6	1635.9	3034.26	7749.02	12350.9	4429.63	52566.2	5777.76	11114.6		4859.52	136055	3323.33				2273.88
APP	2	2	26262.4	23773.2	7340.24	3012.71	1750.57	24295.8	6249.49	18328.6	6130.41	4157.5	5479.48	7896	24911.9	4933.54		17465.8	3359.81	21111.6	2604.28	14629.5
ARF1;ARF3	1	0		315.193	332.018		63.5865				1799.99	193.461	658.185				2075.5		403.034			
ARF4	1	1			461.962						764.835											
ARG1	2	2									2994.34						12528.8					
ARHGAP9	1	1									4631.49											
ARHGDIB	3	3									741.384	914.709							579.816			
ASAH2	13	10	19298.6	37961.2	40132.1	74097.1	21868.4	33015.2	36039.5	39372.6	16513.3	16569.1	32358.6	30089.2	51578.6	41253	214546	8107.67	1146.99	14768.7	5907.04	19152.5
ATP1B1	2	2		2811.42	1926.27		1611.98				5461.96					2503.3	6426.86		1275.95			
ATP2A1	9	3	3199.6	38175.9		56487.5	16199.3	11686.9	13380.1	19889.8	10085.5	13686.2	21074.3				82178.3	76870.6		47492.5	16648.5	
ATP2A2	1	1		5696.12				5231.71	3493.43	14248.2	2950.02											
ATP5F1A	2	2		2017.91			2995.27										2873.91					
ATP5F1B	3	3		8894.59	39388.7	63469.4	2654.45	3407.2	1039.53	9143.38	1411.68	1199.85	13274.9		95000	21145.9	137463					
ATP5MC1;ATP5MC2;ATP5MC3	1	0		3659.18		8590.57	994.157	2447.79	15552.2			4236.59	4539.83	6868.86			15650.4	4170.22	669.94			4673.58
ATRN	11	11	10320.9	1789.98	1831.38		1728.48		2110.6		3296.92	2644.95	1161.62			2520.58			1360.44	6269.78		2440.3
AZGP1	22	22	11283.8	4934.88	7928.28	5967.63	2750.39	5812.19	2823.41	21949.3	8072.68	16313.4	18906.4	16989.2	5649.63	10399.6	34255	7363.85	11127.3	20391.9	5420.58	2232.33
AZU1	5	5		5621.15	9800.12	4531.12	2307.95	10116	133246	313323	565030	14038.3	6350.57			3848.66	13496.8	27841.2	320363	15268.8	12080.8	1671.03
BCAT2	1	1							504.31													
