File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_159-73X.mzML	2433	0	5.181e+08	2323970230	9939630913	2.514	0.147	4.54475	1.64357	15.338	3.12694	1	0.15401	12.714	2.193	0.114
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_036-41.mzML	2073	0	5.60432e+08	7822634002	20641068091	3.358	0.091	6.55729	1.77782	5.56613	3.63831	1	0.0377386	12.037	2.211	0.136
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_008-47.mzML	2656	0	1.44616e+09	11830666635	41138548841	3.565	0.096	4.29797	1.81119	4.12176	3.46016	1	0.0371259	12.085	2.204	0.144
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_032-19.mzML	1756	0	1.73764e+08	9367735479	25738551093	3.465	0.094	6.16656	2.01121	5.63961	4.11777	1	0.0397785	11.472	2.176	0.122
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_020-38.mzML	2452	0	1.15942e+09	9609958062	30131170243	3.549	0.096	7.13563	1.66698	7.36712	3.45673	1	0.0343701	12.422	2.238	0.153
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_098-25.mzML	1738	0	5.31078e+08	5777132558	15071713050	3.332	0.09	4.62345	1.55734	4.18884	3.4641	1	0.0422685	12.296	2.243	0.157
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_080-42.mzML	2808	0	1.00754e+09	8948853817	25951245392	3.428	0.093	7.27678	1.4873	8.00922	3.07309	1	0.032526	12.252	2.223	0.148
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_064-26.mzML	2351	0	7.56402e+08	8580173250	26747073207	3.481	0.094	7.12909	1.75856	7.85405	3.7255	1	0.0382109	12.012	2.223	0.153
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_030-45.mzML	3267	0	5.74636e+08	5961576942	14688369657	3.363	0.091	5.94667	1.69837	5.38865	3.79687	1	0.0364974	11.935	2.211	0.144
E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_004-6.mzML	2339	0	4.90038e+08	7811405446	20120566621	3.326	0.09	3.47454	1.8252	4.15066	4.0067	1	0.0376423	11.572	2.185	0.158
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_173-80.mzML	2481	0	1.68373e+08	1408620800	7073606252	2.484	0.145	4.10331	1.75064	10.727	3.5411	1	0.18258	12.186	2.141	0.099
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_181-84.mzML	1587	0	1.39632e+08	1080910171	8627917333	2.544	0.148	3.44738	1.77774	8.51659	3.5181	1	0.182004	12.255	2.152	0.075
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_165-76.mzML	823	0	2.50446e+07	1659609642	4486335822	2.385	0.139	2.8916	1.26238	17.2721	3.24495	1	0.211551	11.855	2.093	0.082
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_157-73.mzML	2017	0	2.61535e+08	2763829314	9632445709	2.534	0.148	5.84983	1.74233	11.125	3.52015	1	0.176595	12.367	2.162	0.085
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_195-91.mzML	1647	0	1.21176e+08	8209430949	9308777563	2.476	0.144	3.26561	2.12109	4.87443	3.92235	1	0.178002	12.209	2.115	0.081
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_035-14.mzML	1561	0	9.66169e+07	2053877147	6350843870	2.448	0.143	14.9759	1.55081	8.03806	3.82327	1	0.195129	12.155	2.117	0.079
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_007-3.mzML	2688	0	3.79141e+08	3026978726	10128590468	2.53	0.148	5.15286	1.66252	13.3044	3.09749	1	0.186458	12.373	2.152	0.094
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_003.mzML	1774	0	1.26019e+08	3921531322	4038801070	2.367	0.138	4.66842	1.65964	11.9852	3.87812	1	0.188431	12.407	2.157	0.108
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_013-5X.mzML	1248	0	4.27744e+07	2325212325	3495183731	2.385	0.139	1.74716	1.53284	6.60368	4.37411	1	0.196221	12.473	2.136	0.075
E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_019-8.mzML	1685	0	1.1852e+08	1611818125	5721307255	2.443	0.142	4.80485	1.46059	8.00824	3.57001	1	0.168169	12.344	2.117	0.082
